track_name,artist,album,release_date,spotify_uri,language,danceability,energy,valence,tempo,speechiness,acousticness
Bollywood,Ayzha Nyree,Bollywood,2020-05-26,spotify:track:1A9PdIMA0eU8GUNuy2aP8Z,Hindi,0.805,0.467,0.37,120.12,0.248,0.294
Bollywood Flashback Mashup - Remix,Akhil Talreja,Bollywood Flashback Mashup (Remix),2017-10-18,spotify:track:0ZcRMN1BfY3VbdbOLVvitV,Hindi,0.752,0.925,0.844,129.995,0.0574,0.123
"Ghungroo (From ""War"")",Vishal-Shekhar,"Ghungroo (From ""War"")",2019-09-30,spotify:track:0WdbnNKO0Jt4BZACSDQh44,Hindi,0.695,0.727,0.864,118.034,0.0323,0.0744
Bollywood,Shawn Lee's Ping Pong Orchestra,Music and Rhythm,2004-08-24,spotify:track:3Ehua1s2F6sAARrtGLJhHw,Hindi,0.6,0.988,0.825,156.699,0.0352,0.0148
Bollywood Medley (Series 5),Zain Worldwide,Bollywood Medley (Series 5),2023-08-17,spotify:track:5NMGzh8az4AdrW6vQ7qPaM,Hindi,0.54,0.474,0.169,140.046,0.134,0.596
What Jhumka ?,Pritam,Rocky Aur Rani Kii Prem Kahaani (Original Motion Picture Soundtrack),2024-05-15,spotify:track:4ebGjbay0OmsBNUwo0M6u6,Hindi,0.828,0.791,0.452,107.903,0.135,0.252
Bollywood,Liz Phair,Funstyle,2010,spotify:track:1tWuDExljxWDWG6hnbSilQ,Hindi,0.703,0.962,0.752,105.953,0.136,0.417
"Chaiyya Chaiyya (From ""Dil Se"")",Sukhwinder Singh,Bollywood's Musical Extravaganza - Sonu Nigam & Sukhwinder Singh,2016-07-01,spotify:track:7ltsfuHdqTZ5LwPpDy1q0v,Hindi,0.786,0.579,0.481,90.012,0.142,0.186
Bole Chudiyan,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28,spotify:track:1uzkWkIaWaxzHJgJ4Fy5rO,Hindi,0.59,0.875,0.737,96.915,0.171,0.45
Bollywood,Akhil,Bollywood - Single,2017-12-13,spotify:track:0PfCDyJmGWW2BhZe6fDEep,Hindi,0.839,0.882,0.683,94.002,0.119,0.419
Bollywood Bounce,Keys N Krates,Original Classic,2021-11-12,spotify:track:1T2VccvaJGfikiCn3DspQm,Hindi,0.775,0.819,0.848,75.02,0.151,0.14
Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,spotify:track:4UMIv5jd9gK98a39BQRD9X,Hindi,0.577,0.574,0.436,94.009,0.0278,0.572
Bollywood,Drupatee,Curry Que Riddim,2014-07-15,spotify:track:76Iwz3A6D7XYkxIzpBbIE4,Hindi,0.889,0.848,0.943,125.977,0.206,0.149
"Chhupana Bhi Nahin Aata (From ""Baazigar"")",Pankaj Udhas,Bollywood & Ghazal Collection of Pankaj Udhas,2016-07-01,spotify:track:2oAy8P7WfjbZW0cWw6RnAG,Hindi,0.414,0.517,0.647,157.405,0.0711,0.362
Kala Chashma,Prem Hardeep,The Neha Kakkar Collection,2019-06-06,spotify:track:1FDbMuxueQ9I6AIZIbq9zM,Hindi,0.801,0.856,0.919,106.029,0.065,0.0984
Bollywood,Sandro Silva,Bollywood,2020-11-20,spotify:track:45FfsLcH4wlFxp6V7aoQAR,Hindi,0.658,0.983,0.6,127.977,0.0878,0.0295
The Walk Home,Young the Giant,American Bollywood,2022-11-16,spotify:track:0sfrbCvmUUfJgZlKqXQbQ6,Hindi,0.515,0.899,0.31,124.993,0.0493,0.0062
"Ghungroo (From ""War"")",Vishal-Shekhar,YRF Top 10 - Nightout Sounds,2021-05-04,spotify:track:1Ef0TmgS1QrVO6tKHrMMmH,Hindi,0.695,0.729,0.872,118.028,0.0322,0.0738
Bollywood,Akhil,Do Gabru - Diljit Dosanjh & Akhil,2018-07-10,spotify:track:5LKzrt75coVaxrDcRR7odn,Hindi,0.854,0.859,0.569,94.023,0.162,0.512
Jab Tak,Armaan Malik,Bollywood Romantic Songs With Armaan Malik,2017-07-20,spotify:track:1im9BMeeKze7rkBPIEpCUr,Hindi,0.299,0.447,0.321,121.723,0.0383,0.858
"Say ""Shava Shava""",Aadesh Shrivastava,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28,spotify:track:7CdABTaND3EW5cETakiBD3,Hindi,0.665,0.908,0.691,98.808,0.188,0.0504
Bollywood,Jwles,Bijoux,2024-10-04,spotify:track:1haFSWEpA2quQy3iWUgGEe,Hindi,0.711,0.53,0.719,161.982,0.215,0.202
"Baby Doll (From ""Ragini Mms 2"")",Meet Bros Anjjan,Bollywood Party With Meet Bros,2017-08-17,spotify:track:0QjiywAse0jM8QgPvtJrpC,Hindi,0.836,0.839,0.507,103.992,0.106,0.275
Ghungroo,Vishal-Shekhar,War,2019-09-30,spotify:track:6EAMI8iHwC3TCSBGVKoWng,Hindi,0.695,0.727,0.864,118.034,0.0323,0.0744
Bollywood,Panos Mouzourakis,Bollywood,2020-02-14,spotify:track:7GOkbCJNCVdgjhoFHKXGkS,Hindi,0.567,0.719,0.518,193.985,0.193,0.181
Bol Do Na Zara,Armaan Malik,Bollywood Romantic Songs With Armaan Malik,2017-07-20,spotify:track:5XD2tP1DRH2NJgp45HiEQA,Hindi,0.545,0.472,0.195,129.988,0.0311,0.294
Tukur Tukur,Pritam,Dilwale (Original Motion Picture Soundtrack),2015-11-17,spotify:track:5swv4r5dYNHhsL54jGqmn8,Hindi,0.8,0.921,0.826,137.989,0.0846,0.0841
Bollywood,Loredana Bertè,Manifesto,2021-11-05,spotify:track:3hfLzd5e6KUxzKu5pM5Q5a,Hindi,0.824,0.919,0.812,91.984,0.0731,0.0992
